Elapsed Time (sec),interval
0.0,1.107
1.207,1.207
2.29,1.083
3.467,1.177
4.533,1.067
5.633,1.1
6.747,1.113
7.877,1.13
8.983,1.107
10.093,1.11
11.22,1.127
12.37,1.15
13.54,1.17
14.727,1.187
15.887,1.16
17.007,1.12
18.14,1.133
19.307,1.167
20.473,1.167
21.62,1.147
22.727,1.107
23.827,1.1
24.98,1.153
26.093,1.113
27.23,1.137
28.363,1.133
29.52,1.157
30.62,1.1
31.787,1.167
32.9,1.113
34.06,1.16
35.173,1.113
36.253,1.08
37.39,1.137
38.5,1.11
39.567,1.067
40.787,1.22
41.943,1.157
43.13,1.187
44.233,1.103
45.407,1.173
46.557,1.15
47.633,1.077
48.773,1.14
49.893,1.12
51.01,1.117
52.143,1.133
53.277,1.133
54.427,1.15
55.52,1.093
56.737,1.217
57.887,1.15
59.027,1.14
60.167,1.14
61.34,1.173
62.507,1.167
63.687,1.18
64.863,1.177
66.023,1.16
67.17,1.147
68.32,1.15
69.457,1.137
70.647,1.19
71.773,1.127
72.967,1.193
74.153,1.187
75.457,1.303
76.667,1.21
77.947,1.28
79.087,1.14
80.203,1.117
81.307,1.103
82.46,1.153
83.61,1.15
84.787,1.177
85.9,1.113
87.03,1.13
88.16,1.13
89.297,1.137
90.427,1.13
91.557,1.13
92.663,1.107
93.823,1.16
94.93,1.107
96.02,1.09
97.157,1.137
98.317,1.16
99.457,1.14
100.62,1.163
101.767,1.147
102.943,1.177
104.083,1.14
105.22,1.137
106.307,1.087
107.35,1.043
108.42,1.07
109.477,1.057
110.587,1.11
111.69,1.103
112.803,1.113
113.91,1.107
114.997,1.087
116.23,1.233
117.347,1.117
118.447,1.1
119.58,1.133
120.717,1.137
121.843,1.127
122.933,1.09
124.103,1.17
125.2,1.097
126.293,1.093
127.42,1.127
128.533,1.113
129.64,1.107
130.733,1.093
131.827,1.093
133.007,1.18
134.17,1.163
135.28,1.11
136.417,1.137
137.553,1.137
138.677,1.123
139.833,1.157
141.007,1.173
142.17,1.163
143.36,1.19
144.497,1.137
145.63,1.133
146.753,1.123
147.857,1.103
148.973,1.117
150.113,1.14
151.29,1.177
152.42,1.13
153.553,1.133
154.773,1.22
155.96,1.187
157.13,1.17
158.23,1.1
159.467,1.237
160.717,1.25
161.933,1.217
163.07,1.137
164.243,1.173
165.463,1.22
166.62,1.157
167.733,1.113
168.857,1.123
169.99,1.133
171.1,1.11
172.227,1.127
173.333,1.107
174.527,1.193
175.61,1.083
176.767,1.157
177.92,1.153
179.003,1.083
180.19,1.187
181.373,1.183
182.51,1.137
183.643,1.133
184.767,1.123
185.9,1.133
187.043,1.143
188.213,1.17
189.307,1.093
190.48,1.173
191.61,1.13
192.787,1.177
193.953,1.167
195.12,1.167
196.31,1.19
197.417,1.107
198.533,1.117
199.67,1.137
200.837,1.167
201.963,1.127
203.05,1.087
204.19,1.14
205.347,1.157
206.47,1.123
207.6,1.13
208.717,1.117
209.84,1.123
211.003,1.163
212.113,1.11
213.187,1.073
214.31,1.123
215.437,1.127
216.613,1.177
217.743,1.13
218.877,1.133
220.043,1.167
221.167,1.123
222.277,1.11
223.38,1.103
224.497,1.117
225.6,1.103
226.687,1.087
227.8,1.113
228.903,1.103
229.997,1.093
231.09,1.093
232.26,1.17
233.373,1.113
234.55,1.177
235.747,1.197
236.793,1.047
238.057,1.263
239.103,1.047
240.247,1.143
241.417,1.17
242.54,1.123
243.62,1.08
244.72,1.1
245.84,1.12
246.967,1.127
248.11,1.143
249.177,1.067
250.28,1.103
251.357,1.077
252.443,1.087
253.523,1.08
254.683,1.16
255.82,1.137
256.873,1.053
258.04,1.167
259.13,1.09
260.173,1.043
261.233,1.06
262.373,1.14
263.453,1.08
264.54,1.087
265.653,1.113
266.667,1.013
267.78,1.113
268.92,1.14
270.013,1.093
271.163,1.15
272.3,1.137
273.38,1.08
274.49,1.11
275.623,1.133
